# seed = 20260714
# generator_version = 1.0.0
# distribution = mixed (75% clustered + 25% uniform)
# demand = bimodal; capacity_slack = moderate
# Field order follows the current repository reader, not the official PDF order.
NAME : random_mixed_c200_d10_s20260714
CUSTOMERS : 200
DEPOTS : 10
VEHICLE_CAPACITY : 100
ROUTE_FIXED_COST : 80
DISTANCE_FORMAT : COORDS

DEPOT_SECTION
# id opening_cost capacity max_vehicles x y
1 1091 336 5 180.0 220.0
2 1119 347 5 780.0 190.0
3 738 360 5 250.0 760.0
4 816 367 5 760.0 750.0
5 1129 347 5 160.3 585.2
6 1151 347 5 942.1 252.2
7 1182 344 5 378.4 395.5
8 1118 339 5 310.4 522.1
9 766 372 5 132.7 862.8
10 826 375 5 442.1 687.4

CUSTOMER_SECTION
# id demand x y
1055 11 238.8 382.9
1056 12 855.8 754.3
1057 26 37.7 771.2
1058 12 730.4 299.4
1059 7 804.2 912.7
1060 27 720.0 708.2
1061 5 771.1 167.6
1062 6 662.5 832.6
1063 18 442.9 795.3
1064 12 400.6 600.8
1065 9 897.6 681.4
1066 25 811.7 177.1
1067 9 80.4 299.1
1068 11 825.0 160.0
1069 12 431.4 649.7
1070 6 677.8 211.4
1071 5 599.5 548.2
1072 11 293.1 687.5
1073 10 134.3 232.0
1074 24 169.8 178.6
1075 12 657.6 101.7
1076 26 728.6 157.2
1077 7 368.9 685.9
1078 12 932.3 7.5
1079 11 669.8 732.2
1080 10 413.5 236.0
1081 9 17.5 640.7
1082 9 822.5 52.7
1083 8 783.6 142.4
1084 30 268.1 153.1
1085 7 495.8 443.3
1086 25 608.9 796.0
1087 27 164.1 333.3
1088 12 497.0 659.6
1089 9 745.7 585.1
1090 30 810.5 777.9
1091 5 74.5 264.0
1092 20 612.7 381.7
1093 6 317.0 293.1
1094 10 167.4 720.0
1095 8 395.8 376.6
1096 29 817.4 223.1
1097 28 808.8 670.9
1098 12 199.4 866.4
1099 11 285.0 111.6
1100 6 199.8 655.7
1101 21 179.6 788.6
1102 21 109.4 127.9
1103 7 300.9 704.8
1104 5 341.4 563.2
1105 30 112.4 245.2
1106 9 386.5 587.9
1107 11 634.2 211.0
1108 24 722.8 849.8
1109 6 144.1 256.2
1110 7 329.3 804.6
1111 24 241.6 207.5
1112 5 530.5 516.6
1113 9 548.7 492.7
1114 7 504.9 263.0
1115 27 293.0 360.8
1116 11 689.9 249.2
1117 5 15.7 247.0
1118 6 741.8 668.2
1119 7 728.7 607.3
1120 11 232.8 766.0
1121 6 120.7 727.0
1122 29 777.7 279.0
1123 10 527.2 700.6
1124 26 69.8 656.0
1125 27 21.5 179.1
1126 19 236.8 774.6
1127 11 296.5 817.0
1128 9 784.1 159.0
1129 18 760.5 162.7
1130 6 222.5 231.7
1131 9 165.7 194.6
1132 22 845.8 542.6
1133 8 236.1 662.0
1134 12 189.5 673.9
1135 10 761.9 320.5
1136 23 825.1 577.2
1137 25 667.1 221.0
1138 11 189.8 153.0
1139 5 857.8 730.6
1140 6 559.7 235.3
1141 29 757.2 349.7
1142 7 797.4 280.5
1143 23 669.3 776.9
1144 7 0.0 326.7
1145 26 780.5 170.7
1146 5 267.5 415.5
1147 10 140.2 127.6
1148 12 324.5 786.5
1149 29 888.6 839.7
1150 5 172.2 181.4
1151 23 689.1 295.7
1152 12 844.4 215.2
1153 10 254.7 669.8
1154 10 169.8 89.6
1155 11 697.9 85.1
1156 18 721.1 72.6
1157 19 567.0 289.0
1158 11 766.2 677.6
1159 8 815.4 149.2
1160 8 903.7 893.7
1161 24 209.5 314.8
1162 9 819.2 499.4
1163 7 111.2 144.4
1164 19 158.3 678.3
1165 21 708.7 105.9
1166 5 47.0 70.5
1167 12 826.1 175.7
1168 8 823.3 648.6
1169 9 427.9 916.2
1170 9 405.9 800.4
1171 26 100.4 266.8
1172 23 838.2 154.9
1173 6 633.6 301.1
1174 5 809.7 218.2
1175 6 420.6 273.7
1176 23 721.5 152.7
1177 21 634.6 46.7
1178 22 960.2 249.6
1179 8 650.0 269.5
1180 26 582.4 976.3
1181 10 35.4 32.7
1182 21 647.9 611.0
1183 11 767.5 694.7
1184 10 941.7 0.0
1185 7 882.8 680.9
1186 30 800.3 888.8
1187 5 777.8 223.8
1188 18 312.8 908.6
1189 11 454.0 863.5
1190 23 51.8 167.7
1191 5 677.7 618.5
1192 10 797.2 50.1
1193 8 48.9 227.7
1194 6 131.1 100.6
1195 8 91.6 310.3
1196 10 811.2 82.9
1197 8 282.8 101.9
1198 11 750.8 117.9
1199 25 533.5 862.4
1200 22 100.8 161.2
EOF
